abstract,authors,n_citation,references,title,venue,year,id
"Given is a wireless multihop network whose nodes are randomly distributed according to a homogeneous Poisson point process of density /spl rho/ (in nodes per unit area). The network employs Basagni's distributed mobility-adaptive clustering (DMAC) algorithm to achieve a self-organizing network structure. We show that the cluster density, i.e., the expected number of cluster- heads per unit area, is /spl rho//sub c/= /spl rho//spl divide/(1+/spl mu//spl divide/2), where /spl mu/ denotes the expected number of neighbors of a node. Consequently, a clusterhead is expected to incorporate half of its neighboring nodes into its cluster. This result also holds in a scenario with mobile nodes and serves as a bound for inhomogeneous spatial node distributions.",['Christian Bettstetter'],70,"['09b8b840-7c8c-4aaf-9756-200354d1a125', '2af582ae-3859-442b-bf40-dfd44cb5f712', '5206c217-1841-40ae-b9ac-67d246acd0ae', '5fec7385-fd12-43d7-af67-a0ce07fb8c33', '9071a14e-edb8-4ca7-b603-2b42db129fc6', '9ea5b51b-0018-4fc1-b2df-06f6029e0f58', 'a790a22b-5281-46cc-8894-073d9908a963', 'ad7cc0f6-0589-4c6b-b396-cb3b6747e086', 'c7b0d60b-9956-4254-b6d3-26fb1f8782bb', 'e2baa34c-eba8-45fc-ac64-693761c9680b', 'e96f684c-afaa-457a-a9c5-5e5305cfe735', 'ef4e6127-1de5-4998-a80c-571c606860a9']",The cluster density of a distributed clustering algorithm in ad hoc networks,international conference on communications,2004,4ab733a7-7a52-4311-a66c-cee3a35e196e
"The arrangement graph A/sub n,k/, which is a generalization of the star graph (n-t=1), presents more flexibility than the star graph in adjusting the major design parameters: number of nodes, degree, and diameter. Previously the arrangement graph has proven hamiltonian. In this paper we further show that the arrangement graph remains hamiltonian even if it is faulty. Let |F/sub e/| and |F/sub v/| denote the numbers of edge faults and vertex faults, respectively. We show that A/sub n,k/ is hamiltonian when (1) (k=2 and n-k/spl ges/4, or k/spl ges/3 and n-k/spl ges/4+[k/2]), and |F/sub e/|/spl les/k(n-k-2)-1, or (2) k/spl ges/2, n-k/spl ges/2+[k/2], and |F/sub e/|/spl les/k(n-k-3)-1, or (3) k/spl ges/2, n-k/spl ges/3, and |F/sub 3/|/spl les/k.","['Sun-Yuan Hsieh', 'Gen-Huey Chen']",4,"['2f9c8419-0a3e-435c-a15f-f22a2be5b5b5', '4aad86da-a99c-4043-b732-d2f2563650a0', '4d3bc222-99dc-424b-a913-2f71a9c3df4a', '58ba7e96-efd5-4ee2-b61d-e717410606cc', '728b8429-1aa9-460e-983a-52ce3625a50d', 'a3ba7e7a-5257-4473-b496-e51c1a61928d', 'cc7501bd-bbd9-42c2-8450-0025ee0ac46c', 'ddedcf0e-043f-4362-a33d-ae8ba33d07fe', 'de8d52b8-8fcc-4982-beb8-0631cbf4df5d']",Fault-tolerant ring embedding in faulty arrangement graphs,international conference on parallel and distributed systems,1997,4ab74996-f2a5-4307-9cc4-4865771ac689
"In this paper, we consider a bipartite distance-regular graph ?= (X, E) with diameter d? 3. We investigate the local structure of? , focusing on those vertices with distance at most 2 from a given vertex x. To do this, we consider a subalgebra R=R(x) ofMat0307a0x.gif X(C), where 0307a1x.gifX denotes the set of vertices in X at distance 2 from x. R is generated by matrices A, 0307a2x.gif J, and 0307a3x.gif D defined as follows. For all y, z? 0307a4x.gif X, the (y,z )-entry of A is 1 if y, z are at distance 2, and 0 otherwise. The (y, z)-entry of 0307a5x.gif J equals 1, and the (y,z )-entry of 0307a6x.gif D equals the number of vertices of X adjacent to each ofx , y, and z. We show that R is commutative and semisimple, with dimension at least 2. We assume thatdimR is one of 2, 3, or 4, and explore the combinatorial implications of this. We are motivated by the fact that if ? has a Q-polynomial structure, thendimR? 4.",['Brian Curtin'],12,"['0180cbef-9a10-4664-9b8b-1bded2faaa52', '2bf5944f-f7b0-4860-a281-b96cc40c69cc', '564c0f4f-ea2c-4ce7-916e-22ef700fa382', '9c3c9b2b-8213-49d3-9dd1-26647069f21a', 'a0473895-af04-4b63-a43c-92e280545d4f', 'd4494adf-a1b6-4ec2-9628-bb011e9904ce']",The Local Structure of a Bipartite Distance-regular Graph,European Journal of Combinatorics,1999,4ab77078-727b-4bba-be14-114927f14f34
"Recent advancements in the neuroscience and engineering of Brain-Machine Interfaces are providing a blueprint for how new co-adaptive designs based on reinforcement learning change the nature of a user's ability to accomplish tasks that were not possible using static methodologies. By designing adaptive controls and artificial intelligence into the neural interface, computers can become active assistants in goal-directed behavior and further enhance human performance. This paper presents a set of minimal prerequisites that enable a cooperative symbiosis and dialogue between biological and artificial systems.","['Justin C. Sanchez', 'Jose C. Principe']",0,"['10ec70d8-ad83-4bf4-949a-211496ecc8ba', '2aad3b0f-de56-4aef-a6fa-ec56fd3ecd35', '45e42362-69f9-4d47-894d-7fba45a34e70', '69b018a7-b4d0-4497-92e2-696ec9d48964', '88ee0296-cca7-4b67-bd96-87299f4b2e30', '89d97f99-d2f4-4f99-a8c5-0e459f0dce59', '9e120f46-f315-43bf-b04b-5e916f5b9aba', 'ac926330-234d-4698-ac11-4927fea380b9', 'bea81ac7-d48a-4f4b-8223-8d20b5e550ce', 'd749cb94-5fbb-404a-9f3b-50584022b5b2', 'e0f3a738-4ab2-40d1-ba44-506d81c1d230', 'f2c93529-5961-49a5-b366-c964c5bbe709']",Prerequesites for symbiotic brain-machine interfaces,"systems, man and cybernetics",2009,4ab7aa6a-306b-4590-9b15-c01727bd08af
"This paper computes and analyzes the natural compliance of fixturing and grasping arrangements. Traditionally, linear-spring contact models have been used to determine the natural compliance of multiple contact arrangements. However, these models are not supported by experiments or elasticity theory. We derive a closed-form formula for the stiffness matrix of multiple contact arrangements that admits a variety of nonlinear contact models, including the well-justified Hertz model. The stiffness matrix formula depends on the geometrical and material properties of the contacting bodies and on the initial loading at the contacts. We use the formula to analyze the relative influence of first- and second-order geometrical effects on the stability of multiple contact arrangements. Second-order effects, i.e., curvature effects, are often practically beneficial and sometimes lead to significant grasp stabilization. However, in some contact arrangements, curvature has a dominant destabilizing influence. Such contact arrangements are deemed stable under an all-rigid body model but, in fact, are unstable when the natural compliance of the contacting bodies is taken into account. We also consider the combined influence of curvature and contact preloading on stability. Contrary to conventional wisdom, under certain curvature conditions, higher preloading can increase rather than decrease grasp stability. Finally, we use the stiffness matrix formula to investigate the impact of different choices of contact model on the assessment of the stability of multiple contact arrangements. While the linear-spring model and the more realistic Hertz model usually lead to the same stability conclusions, in some cases, the two models lead to different stability results.","['Qiao Lin', 'Joel W. Burdick', 'Elon Rimon']",18,"['058ba639-f93c-477c-9aa3-6898044408cc', '0d3a1565-74bf-4560-a15c-6dd64d8a4362', '16af9b7b-ba29-4e8d-979e-00219782f6dd', '25f6352d-dcfb-4b34-bd35-c4f0363de4f5', '38b0ecd6-6c65-4c26-918f-6c5e3bbe3223', '4de88a24-9968-45ca-9954-8078940f829e', '62de4e4c-d17b-4a88-a154-d9933f3b01c9', '6e00217d-555b-472c-9d8b-cc2091fb8a4a', '706e6699-dc8c-4b1b-877b-0d5744fd4dd5', '78eb03de-3c64-4774-8bda-d41a1db8ee2e', '8e8dc45b-8297-4343-81b0-cbdf89741900', '90d3612c-2fae-4370-a570-49029a6afbc7', 'a385e78c-6255-4751-8a18-8e96dc79f0bf', 'c47d004f-ab41-4086-baf2-0518e8cdd3f1', 'c50ab6c7-0d4e-41a9-9536-02456f985365', 'd6256404-a9ce-4be3-8e60-5f3882c7abea', 'dac9b8ea-e6b5-4389-a7ea-e50802442071', 'e1977aaa-b88a-467e-8c35-be5f2042c87d']",Computation and analysis of natural compliance in fixturing and grasping arrangements,IEEE Transactions on Robotics,2004,4ab7b13e-bc23-4ac8-901e-40af53bd2e2d
"We consider the problem of finding points of interest along local curves of binary images. Information theoretic vector quantization is a clustering algorithm that shifts cluster centers towards the modes of principal curves of a data set. Its runtime characteristics, however, do not allow for efficient processing of many data points. In this paper, we show how to solve this problem when dealing with data on a 2D lattice. Borrowing concepts from signal processing, we adapt information theoretic clustering to the quantization of binary images and gain significant speedup.","['Christian Bauckhage', 'Christian Thurau']",2,"['7ab78f6e-c0c4-4c04-bf0d-c14cd2e1565f', '842403d3-e28d-4dca-b1ed-9df07b48e9d0', '91fc32c5-4d22-4bb8-90a4-3306c674ed95', 'c8f80ea6-4602-458c-9a70-daf1c646c89b', 'fe1a8e82-6fb5-42a4-9766-74e55757c2c7']",Adapting Information Theoretic Clustering to Binary Images,international conference on pattern recognition,2010,4ab7b22e-5a7c-4ccf-a715-ed242f277ff9
"Motivation: For establishing prognostic predictors of various diseases using DNA microarray analysis technology, it is desired to find selectively significant genes for constructing the prognostic model and it is also necessary to eliminate non-specific genes or genes with error before constructing the model.#R##N##R##N#Results: We applied projective adaptive resonance theory (PART) to gene screening for DNA microarray data. Genes selected by PART were subjected to our FNN-SWEEP modeling method for the construction of a cancer class prediction model. The model performance was evaluated through comparison with a conventional screening signal-to-noise (S2N) method or nearest shrunken centroids (NSC) method. The FNN-SWEEP predictor with PART screening could discriminate classes of acute leukemia in blinded data with 97.1% accuracy and classes of lung cancer with 90.0% accuracy, while the predictor with S2N was only 85.3 and 70.0% or the predictor with NSC was 88.2 and 90.0%, respectively. The results have proven that PART was superior for gene screening.#R##N##R##N#Availability: The software is available upon request from the authors.#R##N##R##N#Contact: honda@nubio.nagoya-u.ac.jp","['Hiro Takahashi', 'Takeshi Kobayashi', 'Hiroyuki Honda']",50,"['0742bed7-389c-4734-800a-c1694a373585', '8a54e596-5c64-4b50-a52b-e7cee97bce84', 'a24cb345-f658-4e58-b081-809f36d67388']",Construction of robust prognostic predictors by using projective adaptive resonance theory as a gene filtering method,Bioinformatics,2005,4ab7b6e2-1cff-472a-9637-95c7938be3e1
"The connection between minimum entropy control and risk-sensitive control for linear time-varying systems is investigated. For time-invariant systems, the entropy functional and the linear exponential quadratic Gaussian cost are the same. In this paper, it is shown that this is not true for general time varying systems. It does hold, however, when the system admits a state-space representation.","['Marc A. Peters', 'Pablo A. Iglesias']",50,[],The relationship between minimum entropy control and risk-sensitive control for time-varying systems,IEEE Transactions on Automatic Control,1999,4ab7e73d-2b57-4437-a954-5177e595c050
"Two-operand binary addition is the most widely used arithmetic operation in modern datapath designs. To improve the efficiency of this operation, it is desirable to use an adder with good performance and area tradeoff characteristics. This paper presents an efficient carry-lookahead adder architecture based on the parallel-prefix computation graph. In our proposed method, we define the notion of triple-carry-operator, which computes the generate and propagate signals for a merged block which combines three adjacent blocks. We use this in conjunction with the classic approach of the carry-operator to compute the generate and propagate signals for a merged block combining two adjacent blocks. The timing-driven nature of the proposed design reduces the depth of the adder. In addition, we use a ripple-carry type of structure in the nontiming critical portion of the parallel-prefix computation network. These techniques help produce a good timing-area tradeoff characteristic. The experimental results indicate that our proposed adder is significantly faster than the popular Brent-Kung adder with some area overhead. On the adder hand, the proposed adder also shows marginally faster performance than the fast Kogge-Stone adder with significant area savings.","['S. Das', 'Sunil P. Khatri']",7,"['00f190f5-6c08-466f-ab7d-6840f0342106', '19ca2c31-f9c1-4960-a527-3f5a0193db52', '4dbc527f-de70-47d9-91a3-23e62d24256d', '61fb4d35-86e2-4dd5-9d3e-00c537ddc384', '785537a5-5676-4ebd-adcc-b72b78497b72', '9ad65761-3b6f-437e-86df-bd40e632f5a7', '9fc52d0d-7ce7-4c0d-9a61-3d93d5332479', 'ae667ab3-94ef-42dc-af44-f150d5449315', 'c7d53b3f-6ab6-4e32-bd88-3debf4359b10', 'd69a33c0-0ae7-4838-9f3c-8d2dd4d2049b', 'e19d43b8-2bc6-4e56-aef0-245697a66f7d', 'f92b35dc-56f9-444f-8af1-284d61886e97']",A Novel Hybrid Parallel-Prefix Adder Architecture With Efficient Timing-Area Characteristic,IEEE Transactions on Very Large Scale Integration Systems,2008,4ab7ed45-2bf9-43a9-b735-b02a4757c0ee
"An intelligent control stand-alone doubly-fed induction generator (DFIG) system using proportional-integral-derivative neural network (PIDNN) is proposed in this study. This system can be applied as a stand-alone power supply system or as the emergency power system when the electricity grid fails for all sub-synchronous, synchronous and super-synchronous conditions. The rotor side converter is controlled using the field-oriented control to produce three-phase stator voltages with constant magnitude and frequency at different rotor speeds. Moreover, the stator side converter, which is also controlled using field-oriented control, is primarily implemented to maintain the magnitude of the DC-link voltage. Furthermore, the intelligent PIDNN controller is proposed for both the rotor and stator side converters to improve the transient and steady-state responses of the DFIG system for different operating conditions. Both the network structure and on-line learning algorithm are introduced in detail. Finally, the feasibility of the proposed control scheme is verified through experimentation.","['Faa-Jeng Lin', 'Jonq-Chin Hwang', 'Kuang-Hsiung Tan', 'Zong-Han Lu', 'Yung-Ruei Chang']",5,"['1297ec68-9763-44a9-b60e-880ee359cb43', '5863265c-8808-433b-8335-b833c7906d42', '65033205-8fd6-4992-aa02-ef948364d06e', '72c969e4-2002-450f-9fa2-3af233f0e4f9', '88d5ab29-899f-4251-a766-218459fb3a33', '94bc995a-f5ba-48d3-a85c-6a0e6ff4dc68', 'a1044362-e073-47f7-936c-c6d9040db46e', 'a643d397-25b4-4002-8f6b-92b3ea83d508', 'a83f737b-160d-414f-93a0-1cc57b00d410', 'b2c8fd9d-be83-4570-8475-7df33f169978', 'd1a2ab37-610e-498e-9da8-263ec5a464e3', 'efaf7e17-6b68-4f9f-8550-0ee758578ede', 'f5010b13-da80-4406-8966-0ac0464d8fde', 'f932d94a-6da0-45ec-9638-180255f14760', 'f966c2a0-2956-4dd9-9efd-5166e71dea42']",Control of Doubly-Fed Induction Generator System Using PIDNNs,international conference on machine learning and applications,2010,4ab7fd62-8f72-4845-a1fb-77e2d9c2a733
"A tripartite authenticated key agreement protocol is designed for three entities to communicate securely over an open network particularly with a shared key. Password-authenticated key exchange (PAKE) allows the participants to share a session key using a human memorable password only. In this paper, A password-based authenticated tripartite key exchange protocol(3-PAKE) is presented in the standard model. The security of the protocol is reduced to theDecisional Bilinear Diffie-Hellman (DBDH) problem, and the protocol provides not only the properties of forward secrecy, but also resistance against known key attacks. The proposed protocol is more efficient than the similar protocols in terms of both communication and computation.","['Guomin Li', 'Dake He', 'Wei Guo']",0,"['1ee68967-435a-4b08-9d5e-bbf1c98bdc92', '23488a90-32d1-4b37-8328-9d206f18a128', '6947b732-592a-48fd-a6fc-cd39c0f758e0', '7293abd4-5dab-4116-8401-26902dbe8976', '7e818da1-ec5a-4944-8c01-5b0a673a48ba', 'aabd8f07-c961-4df7-98b9-759c8667497c', 'deb72cac-8e58-458b-8d98-93ab35047302', 'e629a1d0-2366-4d7e-ab57-a98afae46c3e']",Password-based tripartite key exchange protocol with forward secrecy,rough sets and knowledge technology,2008,4ab80354-5db3-4d6c-b71a-b632ad55afcc
The utility of high-altitude balloons as a learning technology to facilitate education in several disciplines is considered in this paper. The role that a high-altitude balloon can play as a learning technology is discussed and its utility in this role is considered. The need for a formal design framework for high-altitude ballooning is also discussed. A framework for the assessment of high-altitude ballooning in supporting an undergraduate-level course is evaluated and an assessment using this framework is conducted. The paper concludes with a discussion of techniques that can be used to broaden access to high-altitude ballooning in education.,['Jeremy Straub'],0,['17f29f2b-9f2f-42d1-82c7-ebd5f3a5c9e1'],Evaluation of high-altitude balloons as a learning technology,International Journal of Learning Technology,2015,4ab82679-435a-4c16-a12e-26a9e153172c
"We present a new method for segmenting actions into primitives and classifying them into a hierarchy of action classes. Our scheme learns action classes in an unsupervised manner using examples recorded by multiple cameras. Segmentation and clustering of action classes is based on a recently proposed motion descriptor which can be extracted efficiently from reconstructed volume sequences. Because our representation is independent of viewpoint, it results in segmentation and classification methods which are surprisingly efficient and robust. Our new method can be used as the first step in a semi-supervised action recognition system that will automatically break down training examples of people performing sequences of actions into primitive actions that can be discriminatingly classified and assembled into high-level recognizers.","['Daniel Weinland', 'Rémi Ronfard', 'Edmond Boyer']",81,"['34e8e262-7d14-4476-862c-e4d63cc89847', '606cf3f6-c684-4aeb-89c5-ca5a80aac35a', '6bce238c-31af-4a32-b946-33ea41106c39', '7559d44c-9be7-4006-8151-c005fb6d2d81', '7709c157-24a2-4c1e-a71e-80e41870fb9c', '9ed5fa2c-555f-43c4-a0d6-6a17720ce6c0', '9f685db8-0510-479d-84fb-9855e59088d0', 'b44cb43a-420b-4001-a264-dd9a2f800bd9', 'bea599f9-f381-4047-95cb-a36f4ee6833f', 'dc530f5b-3d53-4a76-b344-d17d8ebb6dba', 'ea0481c6-5a8d-40ea-b0d4-a25469d4cd07', 'f05c8f6c-b49c-4a9f-8655-eac2dca6f1f4', 'f164fda9-7217-498f-ac19-0c44344d8ef5']",Automatic Discovery of Action Taxonomies from Multiple Views,computer vision and pattern recognition,2006,4ab82bb2-7785-4832-b3eb-a38471b58d07
"Viral integration plays an important role in the development of malignant diseases. Viruses differ in preferred integration site and flanking sequence. Viral integration sites (VIS) have been found next to oncogenes and common fragile sites. Understanding the typical DNA features near VIS is useful for the identification of potential oncogenes, prediction of malignant disease development and assessing the probability of malignant transformation in gene therapy. Therefore, we have built a database of human disease-related VIS (Dr.VIS, http://www.scbit.org/dbmi/drvis) to collect and maintain human disease-related VIS data, including characteristics of the malignant disease, chromosome region, genomic position and viral–host junction sequence. The current build of Dr.VIS covers about 600 natural VIS of 5 oncogenic viruses representing 11 diseases. Among them, about 200 VIS have viral–host junction sequence.","['Xin Zhao', 'Qi Liu', 'Qingqing Cai', 'Yanyun Li', 'Congjian Xu', 'Yixue Li', 'Zuofeng Li', 'Xiaoyan Zhang']",14,"['225cf426-535c-424a-a132-a5e64172d4e1', '2c539143-aa90-42f0-b7d1-531f93158c7f', '34cd7b3d-01a1-4f8d-bd49-537d43e82ed8', '5601d014-87fe-4bcb-bca0-a0af1e3aeaa8', 'e123f551-5229-4592-9453-0f7c67b6bf85']",Dr.VIS: a database of human disease-related viral integration sites,Nucleic Acids Research,2012,4ab82e6e-94e0-47b7-b20c-1eb70aabd346
"The present models about Internet marketing, to a certain extent, have some limits, which cannot systematically reveals the process and characteristics of Internet marketing. Based on the theories of traditional marketing and Internet marketing, the paper builds the model of Internet marketing relationship that describes consumer's purchase decision process and firm's Internet marketing process, and correlation among consumer, firm, and bank and logistics firm. Through systematically analyzing the two processes, the model reveals intrinsic characteristics and essences of Internet marketing that are all different from traditional marketing. The model provides a researchful platform for the researchers, and a fundamental basis for further researching Internet marketing.","['Jian Liu', 'Yanqing Wang']",0,"['1ba1f316-8166-4243-989c-e44e2641a89a', '3abcdc61-4df4-49dc-b308-5b4c8145d718']",Research on Internet marketing relationship model,fuzzy systems and knowledge discovery,2012,4ab8514e-08e7-4f71-bd0f-1060a98d9cd5
"A data structure derived from corner stitching which allows efficient representation of VLSI layouts is presented. While each entry in the expanded rectangle database is larger than the corresponding corner-stitched entry, generally fewer entries are required to represent the same VLSI layout. The data structure has two important features: first, the VLSI design is represented as a slicing structure in which each slice contains a portion of the solid material; and second, corner stitches are used to provide two-dimensional nearness information. Initial measurements indicate that expanded rectangles is a viable data structure for use in a complete VLSI layout system. >","['Michael S. Quayle', 'Jon A. Solworth']",3,"['460d0740-984c-49cf-888f-e3ffc1e0dffc', '4b4614e6-4ed2-4d8e-8e0e-6399830165e2']",Expanded rectangles: a new VLSI data structure,international conference on computer aided design,1988,4ab85384-9a63-4139-afed-19e78efe7d73
"In competitive domains, the knowledge about the opponent can give players a clear advantage. This idea lead us in the past to propose an approach to acquire models of opponents, based only on the observation of their input-output behavior. If opponent outputs could be accessed directly, a model can be constructed by feeding a machine learning method with traces of the opponent. However, that is not the case in the Robocup domain. To overcome this problem, in this paper we present a three phases approach to model low-level behavior of individual opponent agents. First, we build a classifier to label opponent actions based on observation. Second, our agent observes an opponent and labels its actions using the previous classifier. From these observations, a model is constructed to predict the opponent actions. Finally, the agent uses the model to anticipate opponent reactions. In this paper, we have presented a proof-of-principle of our approach, termed OMBO (Opponent Modeling Based on Observation), so that a striker agent can anticipate a goalie. Results show that scores are significantly higher using the acquired opponent's model of actions.","['Agapito Ledezma', 'Ricardo Aler', 'Araceli Sanchis', 'Daniel Borrajo']",36,"['03c65362-4803-46af-b539-1d2e3519e000', '28dea08c-56c1-409a-b69f-0a3ff3b483e5', '62549bc2-e0b3-46e8-8d32-390dded105d5', '6d5784b3-6619-4f69-9998-09b6336d6d72', '81a4650c-afaa-475f-bffd-1b083a2a1722', '9594997e-19c5-4eb4-9e9b-5f0f4c91e6e2', '9c07f21f-219f-4e1c-a2d9-895c01fa0006', 'b6153d25-e2ff-46de-8909-24a638d0dbb6', 'c1a48136-aead-455e-9845-3c6791629018', 'cbcfdc41-14e3-404a-b216-592ed55ee8af', 'f4ed7be3-8bdd-4a8a-8d49-8bf6c6c0f832']",Predicting opponent actions by observation,robot soccer world cup,2005,4ab87086-d477-43da-94d8-d6728e2946c4
"This paper introduces Korean web accessibility activities, such as relational laws, ordinances, policies, guidelines. It also presents analytical result of the investigation on web-contents accessibilities of the 39 Korean government agencies. The result shows that only one agency provides web contents satisfying all the minimum requirements, while 97% of the agencies does not satisfy all the minimum requirements. Unfortunately, 6 agencies do not satisfy any.","['Joonho Hyun', 'Doo-Jin Choi', 'Sukil Kim']",2,"['586c38ee-1a29-47b7-95e3-4215a1d90de6', 'f2ccfb36-6a95-49eb-85a7-aa7df70f86a3']",Web accessibility compliance of government web sites in Korea,,2007,4ab87b7b-a712-4158-83ef-196d49f0e17a
"Free-viewpoint television is expected to create a more natural and interactive viewing experience by providing the ability to interactively change the viewpoint to enjoy a 3D scene. To render new virtual viewpoints, free-viewpoint systems rely on view synthesis. However, it is known that most objective metrics fail at predicting perceived quality of synthesized views. Therefore, it is legitimate to question the reliability of commonly used objective metrics to assess the quality of free-viewpoint video (FVV) sequences. In this paper, we analyze the performance of several commonly used objective quality metrics on FVV sequences, which were synthesized from decompressed depth data, using subjective scores as ground truth. Statistical analyses showed that commonly used metrics were not reliable predictors of perceived image quality when different contents and distortions were considered. However, the correlation improved when considering individual conditions, which indicates that the artifacts produced by some view synthesis algorithms might not be correctly handled by current metrics.","['Philippe Hanhart', 'Emilie Bosc', 'Patrick Le Callet', 'Touradj Ebrahimi']",9,"['0474a691-7445-41a6-b49e-a7d02c2ffd85', '15988225-11b3-461b-b564-21d6176f4389', '4426906c-7bb7-4aa6-b92b-3a76583c1c30', '670dcd9f-ed82-47a1-b8d3-82f4b30c1350', '7f1214b2-e070-4ff2-a5d3-647e7c16c2d7', '9dd77a8e-e857-4d71-858f-ef38e37393f1', 'a02408ac-4722-4491-bc1b-07d5b0f48e82', 'ba691df3-7d0b-4100-9295-9be852935267', 'ce5ef48f-a779-4c70-8e3f-959a894e987f', 'dab8aeb1-8ad8-4851-a2bd-d991db47e900', 'e9fea480-0342-4fee-8aae-1613267c6cd6']",Free-Viewpoint Video Sequences: a New Challenge for Objective Quality Metrics,multimedia signal processing,2014,4ab891e5-7bd7-40ba-ac54-3dcf0642e75d
"Writing code that talks to hardware is a crucial part of any embedded project. Both productivity and quality are needed, but some flaws in the traditional development process make these requirements difficult to meet.  We have recently introduced a new approach of dealing with hardware, based on the Devil language. Devil allows to write a high-level, formal definition of the programming interface of a peripheral circuit. A compiler automatically checks the consistency of a Devil specification, from which it generates the low-level, hardware-operating code.  In our original framework, the generated code is dependent of the host architecture (CPU, buses, and bridges). Consequently, any variation in the hardware environment requires a specific tuning of the compiler. Considering the variability of embedded architectures, this is a serious drawback. In addition, this prevents from mixing different buses in the same circuit interface.  In this paper, we remove those limitations by improving our framework in two ways. (i) We propose a better isolation between the Devil compiler and the host architecture. (ii) We introduce Trident, a language extension aimed at mapping one or several buses to each peripheral circuit.","['Fabrice Mérillion', 'Gilles Muller']",50,"['0b2a6255-a0cb-44b6-8ecb-882d6a448ddd', '3af98c71-e125-4f05-badf-ab617e2d8b0a', '4019be5b-c5f2-49dc-9780-98402c666f4d', 'a452b1cd-6a4b-4da0-b520-976e285c5520']",Dealing with Hardware in Embedded Software: A General Framework Based on the Devil Language,"languages, compilers, and tools for embedded systems",2001,4ab89589-b41d-41fb-8265-bb950011695c
"In this paper we present a novel approach to the constrained scheduling problem, while addressing a more general class of constraints that arise from the timing requirements on real-time embedded controllers and from the implementation of mixed data-flow/event-driven real-time systems. We provide general necessary and sufficient conditions for scheduling under precedence constraints and derive sufficient conditions for two well-known scheduling policies. We define mathematical problems that provide optimum priority and deadline assignments, while ensuring both precedence constraints and systems schedulability.We show how these problems can be relaxed to corresponding ILP formulations leveraging on available solvers.","['Leonardo Mangeruca', 'Alberto Ferrari', 'Alberto L. Sangiovanni-Vincentelli']",50,"['07acc876-ab00-43cc-be6d-edcac005ac84', '1b5608f3-9cce-4658-8921-e0d5a27a57ac', '2c2a9d93-7478-4407-b959-68943eae584e', '463b4756-8555-452a-8b3d-1c0ba10b08b1', '5bd0c632-d3d4-4649-8803-11dd861ad5ff', '5fc75125-37b2-4d3a-bd31-5c40433c56cd', 'c3302d0a-4a20-4cac-ab6a-5306eadcd538', 'f0d269b3-54e2-414a-beb7-b8a6d65a5068']",Uniprocessor Scheduling Under Precedence Constraints,real time technology and applications symposium,2006,4ab8a1e7-2442-4b68-a003-e559753f0be8
"In this paper we propose a new traffic engineering scheme to be used jointly with protection in multi-layer, grooming-capable, optical-beared networks. To make the working and protection paths of demands better adapt to changing traffic and network conditions we propose the adaptive multi-layer traffic engineering (AMLTE) scheme that ""tailors"" i.e., fragments and de-fragments wavelength paths in a fully automatic distributed way.","['Tibor Cinkler', 'Péter Hegyi', 'Géza Geleji', 'János Szigeti', 'Ákos Ladányi']",50,"['68cf5113-a9f7-44a5-a9e9-90a4c4d2e260', 'a7367a53-2248-4138-b706-a9b3baac3ef4', 'ff811330-70db-4711-ad5e-9f7f9311b0fb']",Adaptive Multi-Layer Traffic Engineering with Shared Risk Group Protection,international conference on communications,2008,4ab8a8cb-1889-4e4b-8be9-29b7335e11d4
"While most dialogue systems restrict themselves to the adjustment of the propositional contents, our work concentrates on the generation of stylistic va- riations in order to improve the user's perception of the interaction. To accomplish this goal, our approach integrates a social theory of politeness with a cognitive theory of emotions. We propose a hierarchical selection process for politeness behaviors in order to enable the refinement of decisions in case additional context information becomes available.","['Elisabeth André', 'Matthias Rehm', 'Wolfgang Minker', 'Dirk Bühler']",87,"['1fdf35bb-3f10-43fb-9506-ca10ca212ca9', '22c141d5-080a-4cf5-87e7-ab68828c8fb2', '34dc72b2-51fe-443f-96bb-a7d450cd54a2', '43ca9d4e-ed5a-4911-bb63-3f8c769f26bf', '4e96e830-7148-4a45-97bc-fc76f62cb8ea', '502f9d79-49e7-4d5c-a595-641416062710', '50628157-320c-4086-95fa-4a76c8451eb8', '8533e110-9344-4dcf-bfc4-77033900ec87', '90cea1c6-c879-4b67-bd5e-55caa3c6e5fb', 'c3194df9-cd8a-463c-95f4-30995670f17b', 'e5ca36bd-f5db-4f70-8c7a-56a8ea329717']",Endowing Spoken Language Dialogue Systems with Emotional Intelligence,agent-directed simulation,2004,4ab8bbbc-5531-4f0c-b695-d2ce07699de0
